UK SOC 2010 Code,Census Categories: Occupation,Occupation title,Exposure,Interaction,Location,Physical Activities,Tools/ Protective Equipment,Ability to homework score,Median hourly pay (£),Total in employment,Percentage of the workforce that are female(%),Percentage of the workforce that are aged 55+ (%),Percentage of the workforce that are BAME (%),% Working from home during Lockdown
3535,"Business, Finance and Related Associate Professionals",Taxation experts,0.03,0.19,0.07,0.06,0.09,0.44,26.09,37000,42.7,13.9,9.3,63.72
3536,"Business, Finance and Related Associate Professionals",Importers and exporters,0.07,0.26,0.11,0.09,0.11,0.65,14.92,5000,33.8,12.8,28.5,63.72
3537,"Business, Finance and Related Associate Professionals",Financial and accounting technicians,0.03,0.19,0.08,0.07,0.09,0.46,22.05,27000,56.1,11.4,20.8,63.72
3538,"Business, Finance and Related Associate Professionals",Financial accounts managers,0.03,0.2,0.08,0.12,0.1,0.53,18.37,172000,46.7,11.3,6.8,63.72
3539,"Business, Finance and Related Associate Professionals",Business and related associate professionals n.e.c.,0.06,0.1,0.08,0.08,0.08,0.39,14.84,196000,56.2,14.9,10.4,63.72
3541,"Sales, Marketing and Related Associate Professionals",Buyers and procurement officers,0.13,0.23,0.24,0.16,0.18,0.94,15.41,63000,63.2,11.8,7.7,63.72
3542,"Sales, Marketing and Related Associate Professionals",Business sales executives,0.17,0.19,0.34,0.16,0.16,1.01,15.29,138000,35.5,11.6,9.2,63.72
3543,"Sales, Marketing and Related Associate Professionals",Marketing associate professionals,0.02,0.08,0.17,0.04,0.06,0.37,14.27,199000,60.1,8.1,14.7,63.72
3544,"Sales, Marketing and Related Associate Professionals",Estate agents and auctioneers,0.11,0.39,0.48,0.17,0.2,1.35,11.75,55000,55.7,14.6,12.4,63.72
3545,"Sales, Marketing and Related Associate Professionals",Sales accounts and business development managers,0.21,0.21,0.38,0.18,0.16,1.14,22.42,453000,39.6,11.7,10.9,63.72
3546,"Sales, Marketing and Related Associate Professionals",Conference and exhibition managers and organisers,0.09,0.53,0.35,0.43,0.45,1.84,12.02,70000,69.8,9.5,9.9,63.72
3550,Conservation and Environmental associate professionals,Conservation and environmental associate professionals,0.58,0.46,0.84,0.68,0.82,3.39,11.45,11000,31.1,19.5,x,63.72
3561,Public Services and Other Associate Professionals,Public services associate professionals,0.48,0.4,0.56,0.59,0.59,2.63,16.79,91000,62.5,22.1,11.4,63.72
3562,Public Services and Other Associate Professionals,Human resources and industrial relations officers,0.06,0.38,0.16,0.17,0.08,0.85,14.37,164000,62.8,7.1,9.9,63.72
3563,Public Services and Other Associate Professionals,Vocational and industrial trainers and instructors,0.03,0.27,0.09,0.15,0.09,0.63,15,146000,54.3,23,8.3,63.72
3564,Public Services and Other Associate Professionals,Careers advisers and vocational guidance specialists,0.06,0.38,0.16,0.17,0.08,0.85,13.51,32000,73.1,18.3,12.3,63.72
3565,Public Services and Other Associate Professionals,Inspectors of standards and regulations,0.48,0.4,0.56,0.59,0.59,2.63,15.79,41000,32.7,24,7.4,63.72
3567,Public Services and Other Associate Professionals,Health and safety officers,0.5,0.33,0.57,0.51,0.58,2.49,17.47,61000,33.7,20.9,3.5,63.72
4112,Administrative Occupations: Government and Related Organisations,National government administrative occupations,0.29,0.43,0.38,0.25,0.28,1.64,12.4,147000,63.2,24.9,12.2,57.24
4113,Administrative Occupations: Government and Related Organisations,Local government administrative occupations,0.12,0.28,0.06,0.19,0.19,0.83,12.77,134000,72.5,20.5,8,57.24
4114,Administrative Occupations: Government and Related Organisations,Officers of non-governmental organisations,0.12,0.28,0.06,0.19,0.19,0.83,13.21,35000,77.6,24.3,10.7,57.24
4121,Administrative Occupations: Finance,Credit controllers,0.04,0.36,0.11,0.05,0.06,0.62,11.91,38000,72.3,13.2,6.6,57.24
4122,Administrative Occupations: Finance,"Book-keepers, payroll managers and wages clerks",0.08,0.34,0.06,0.14,0.14,0.76,12.52,438000,68.2,16.4,13.5,57.24
4123,Administrative Occupations: Finance,Bank and post office clerks,0.23,0.63,0.13,0.41,0.4,1.8,11.33,94000,66.3,19.6,16.3,57.24
