 , ,place of work,place of work,place of work,place of work,place of work,place of work,place of work,place of work,place of work,place of work,place of work,place of work
,,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West,Wales,Scotland,Northern Ireland
usual residence : 2011 super output area - middle layer,mnemonic,E12000001,E12000002,E12000003,E12000004,E12000005,E12000006,E12000007,E12000008,E12000009,W92000004,S92000003,N92000002
Camden 001,E02000166,0,3,1,4,3,53,2821,42,9,3,5,0
Camden 002,E02000167,2,6,0,9,5,86,2956,47,7,1,2,0
Camden 003,E02000168,0,4,3,1,6,48,3264,58,10,1,1,0
Camden 004,E02000169,1,8,7,1,4,68,2510,40,6,3,0,2
Camden 005,E02000170,1,5,1,3,10,118,3803,62,5,2,8,0
Camden 006,E02000171,1,1,0,5,3,67,3112,43,10,2,1,0
Camden 007,E02000172,2,5,3,0,5,49,3237,49,7,0,2,0
Camden 008,E02000173,0,2,2,3,5,53,3249,66,3,3,3,0
Camden 009,E02000174,3,5,13,7,6,49,3523,46,13,1,3,2
Camden 010,E02000175,1,4,2,4,4,149,4300,81,12,0,5,0
Camden 011,E02000176,1,6,0,3,4,58,2942,54,8,2,2,0
Camden 012,E02000177,3,3,1,8,2,48,3202,59,6,0,5,0
Camden 013,E02000178,0,7,5,3,4,95,3844,65,6,2,4,0
Camden 014,E02000179,0,7,1,3,3,32,2265,35,0,1,1,0
Camden 015,E02000180,1,3,1,10,8,64,3010,33,6,2,2,1
Camden 016,E02000181,0,4,1,4,8,108,3787,82,9,0,3,0
Camden 017,E02000182,0,5,5,1,0,44,2308,39,6,2,1,0
Camden 018,E02000183,3,6,5,3,6,47,3022,55,7,0,5,1
Camden 019,E02000184,0,4,4,5,4,45,2991,59,4,3,2,0
Camden 020,E02000185,0,2,0,6,8,61,2894,53,6,0,3,0
Camden 021,E02000186,2,5,1,6,3,38,2688,38,5,0,4,0
Camden 022,E02000187,1,2,2,5,2,35,2321,29,2,1,0,0
Camden 023,E02000188,1,1,1,6,2,34,2342,37,6,2,0,1
Camden 024,E02000189,0,3,1,3,1,30,1659,24,1,1,1,1
Camden 025,E02000190,4,5,2,6,13,40,2078,47,6,1,1,0
Camden 026,E02000191,1,5,3,4,7,35,2315,63,5,2,3,0
Camden 027,E02000192,1,5,2,4,5,31,2704,40,8,4,1,0
Camden 028,E02000193,2,5,6,6,9,34,3075,41,5,2,5,0
City of London 001,E02000001,1,3,6,13,5,40,3657,54,9,2,6,2
Hackney 001,E02000345,0,0,2,3,1,24,2293,19,4,1,0,0
Hackney 002,E02000346,1,2,2,2,3,40,1763,21,7,0,1,0
Hackney 003,E02000347,0,3,3,1,4,42,2260,18,5,1,2,0
Hackney 004,E02000348,0,5,1,3,4,43,2135,20,4,1,1,0
Hackney 006,E02000350,1,2,1,2,11,58,3815,32,15,0,0,0
Hackney 007,E02000351,0,3,3,7,5,135,4140,59,13,5,2,1
Hackney 008,E02000352,2,2,2,3,3,40,2529,23,4,1,0,0
Hackney 009,E02000353,0,3,2,3,12,47,3491,46,2,1,1,0
Hackney 010,E02000354,1,0,11,13,3,47,3309,42,4,1,1,0
Hackney 011,E02000355,3,2,4,1,2,46,3182,37,3,0,4,0
Hackney 012,E02000356,0,8,1,4,3,45,3318,55,11,0,5,0
Hackney 013,E02000357,2,1,1,5,4,40,1618,24,5,3,2,0
Hackney 014,E02000358,1,5,4,6,5,85,4527,52,6,1,1,0
Hackney 015,E02000359,0,2,1,6,6,35,2344,26,3,1,1,0
Hackney 016,E02000360,0,9,4,7,5,78,3964,40,9,2,6,0
Hackney 017,E02000361,0,5,4,5,9,65,3192,40,9,1,2,1
Hackney 018,E02000362,0,1,3,1,2,44,2174,36,5,0,2,0
Hackney 019,E02000363,1,9,3,6,5,74,3127,55,8,0,1,2
Hackney 020,E02000364,0,9,4,10,5,55,3727,34,5,1,6,0
Hackney 021,E02000365,2,6,7,4,10,81,5756,80,15,1,2,0
Hackney 022,E02000366,0,6,2,9,7,55,2933,32,1,3,5,0
Hackney 023,E02000367,0,5,2,5,5,66,4215,43,5,2,2,2
Hackney 024,E02000368,2,7,2,6,7,57,3332,44,5,4,2,0
Hackney 025,E02000369,0,9,4,7,11,76,4490,62,11,2,3,0
Hackney 026,E02000370,0,7,7,1,4,49,3158,56,5,2,2,0
Hackney 027,E02000371,5,10,3,11,10,85,5484,74,15,1,3,0
Hackney 028,E02006918,1,1,2,6,4,45,2274,32,4,0,1,0
Hackney 029,E02006921,1,1,3,5,7,41,2059,19,7,0,2,0
Hammersmith and Fulham 001,E02000372,1,8,2,7,4,38,3253,37,8,0,1,1
Hammersmith and Fulham 002,E02000373,0,5,3,1,3,33,1957,35,4,2,2,0
Hammersmith and Fulham 003,E02000374,0,3,5,1,5,30,2570,84,10,2,0,0
Hammersmith and Fulham 004,E02000375,3,3,8,2,0,25,2928,72,7,1,2,0
Hammersmith and Fulham 005,E02000376,1,7,0,9,0,27,3173,80,7,0,1,0
Hammersmith and Fulham 006,E02000377,1,3,0,0,3,37,3414,96,12,4,4,0
Hammersmith and Fulham 007,E02000378,0,1,2,3,11,33,3099,130,13,0,2,0
Hammersmith and Fulham 008,E02000379,0,1,2,3,4,42,3026,123,5,1,1,0
Hammersmith and Fulham 009,E02000380,0,2,0,0,0,32,2494,93,5,2,2,0
Hammersmith and Fulham 010,E02000381,2,3,2,3,2,32,3409,118,11,2,4,0
Hammersmith and Fulham 011,E02000382,0,4,1,5,4,22,2466,89,4,0,2,0
Hammersmith and Fulham 012,E02000383,0,6,1,12,3,27,4082,128,10,2,3,0
Hammersmith and Fulham 013,E02000384,0,5,0,7,1,22,2907,99,5,0,2,0
Hammersmith and Fulham 014,E02000385,1,7,8,2,5,20,3367,121,4,1,1,1
Hammersmith and Fulham 015,E02000386,2,4,6,3,5,19,3196,95,14,0,2,0
Hammersmith and Fulham 016,E02000387,0,4,2,4,8,29,2699,71,4,2,0,0
Hammersmith and Fulham 017,E02000388,0,5,3,3,3,22,3864,134,7,0,3,0
Hammersmith and Fulham 018,E02000389,1,5,5,6,2,25,3530,123,11,1,0,0
Hammersmith and Fulham 019,E02000390,0,4,2,7,1,12,2886,79,6,3,1,0
Hammersmith and Fulham 020,E02000391,1,1,3,1,0,31,3197,80,4,1,3,1
Hammersmith and Fulham 021,E02000392,0,11,2,3,6,25,4357,117,14,1,6,0
Hammersmith and Fulham 022,E02000393,0,6,4,2,3,25,2976,118,7,1,2,0
Hammersmith and Fulham 023,E02000394,0,5,9,3,7,23,3156,88,3,0,1,0
Hammersmith and Fulham 024,E02000395,0,6,3,3,4,19,2609,100,6,2,0,0
Hammersmith and Fulham 025,E02000396,1,3,2,4,5,19,2672,95,3,0,1,0
Haringey 001,E02000397,1,3,3,2,13,97,2874,36,6,2,1,0
Haringey 002,E02000398,2,2,2,8,4,80,1771,15,4,1,2,1
Haringey 004,E02000400,1,2,10,4,2,103,2699,25,5,0,3,0
Haringey 005,E02000401,1,1,4,2,4,54,1781,21,5,1,0,0
Haringey 006,E02000402,0,2,4,2,2,53,1794,16,3,1,1,0
Haringey 007,E02000403,1,4,4,4,3,95,2763,28,10,2,3,0
Haringey 008,E02000404,0,1,1,3,2,66,2328,27,3,2,2,0
Haringey 009,E02000405,1,5,2,6,6,114,2527,36,9,0,4,0
Haringey 010,E02000406,1,5,1,5,2,70,2417,29,4,0,0,0
Haringey 011,E02000407,2,7,2,2,7,66,2027,20,4,0,1,0
Haringey 012,E02000408,0,4,4,2,2,65,2015,18,6,1,3,0
Haringey 013,E02000409,0,6,5,4,3,63,1944,25,3,0,1,1
Haringey 014,E02000410,0,4,5,3,4,90,2745,42,1,1,2,0
Haringey 015,E02000411,1,5,4,7,5,81,2246,28,6,6,2,0
Haringey 016,E02000412,1,11,0,8,2,66,2380,32,8,1,1,0
Haringey 017,E02000413,0,6,1,6,7,102,2671,53,5,1,0,0
Haringey 018,E02000414,8,6,2,3,8,72,2404,19,4,1,2,1
Haringey 019,E02000415,0,7,3,1,0,70,2557,30,5,0,2,0
Haringey 020,E02000416,0,6,3,4,0,93,2975,43,2,0,3,0
Haringey 021,E02000417,1,8,11,5,6,93,2790,39,11,0,1,0
Haringey 022,E02000418,0,8,1,5,3,72,2205,29,3,0,0,0
Haringey 023,E02000419,1,2,3,6,7,101,3344,38,7,5,3,0
Haringey 024,E02000420,0,8,5,3,1,39,2412,33,2,1,3,0
Haringey 025,E02000421,2,4,4,3,8,65,2226,31,6,0,1,0
Haringey 026,E02000422,1,14,3,5,4,71,2440,28,4,0,4,0
Haringey 027,E02000423,2,4,4,4,7,75,2761,28,5,0,0,0
Haringey 028,E02000424,0,9,4,7,8,95,3070,41,10,0,5,0
Haringey 029,E02000425,1,3,3,3,1,39,1878,20,2,1,0,0
Haringey 030,E02000426,1,6,2,9,7,78,2613,45,1,2,1,0
Haringey 031,E02000427,0,6,3,1,3,79,3063,33,6,1,2,0
Haringey 032,E02000428,1,2,6,1,3,54,2206,29,2,3,3,0
Haringey 033,E02000429,2,6,1,6,6,91,2989,36,7,2,1,1
Haringey 034,E02000430,1,2,2,6,2,136,3508,37,7,0,1,0
Haringey 035,E02000431,2,4,4,5,8,76,3236,50,7,0,7,0
Haringey 036,E02000432,2,7,0,2,3,89,3017,37,3,2,5,0
Haringey 037,E02006794,0,5,1,3,0,71,1851,23,6,0,2,0
Islington 001,E02000554,0,4,2,1,8,56,3327,31,1,3,1,0
Islington 002,E02000555,0,6,0,6,11,92,3666,33,9,1,1,0
Islington 003,E02000556,0,4,4,6,11,132,4264,44,12,0,5,0
Islington 004,E02000557,0,4,2,3,10,69,3280,41,7,0,2,0
Islington 005,E02000558,5,3,6,7,2,52,2720,37,11,4,1,1
Islington 006,E02000559,1,3,3,10,2,107,4250,51,7,2,6,0
Islington 007,E02000560,5,4,2,5,5,84,3218,45,14,2,2,0
Islington 008,E02000561,0,0,1,5,7,63,3208,45,12,0,1,0
Islington 009,E02000562,2,1,2,2,1,59,3235,35,6,0,3,1
Islington 010,E02000563,2,5,3,9,7,54,3147,39,8,2,1,1
Islington 011,E02000564,1,5,2,3,4,135,5138,66,12,3,3,3
Islington 012,E02000565,1,2,2,9,2,49,3070,41,7,2,5,0
Islington 013,E02000566,1,7,2,4,4,90,3889,55,13,0,7,0
Islington 014,E02000567,0,5,7,7,5,93,4705,65,9,0,3,0
Islington 015,E02000568,2,5,5,7,5,59,3122,46,9,1,4,0
Islington 016,E02000569,0,8,4,6,8,90,4203,47,6,0,6,0
Islington 017,E02000570,2,8,3,4,6,75,4122,65,13,0,0,0
Islington 018,E02000571,1,3,2,8,6,67,3229,37,4,1,2,2
Islington 019,E02000572,0,4,2,4,1,57,2626,37,3,0,2,0
Islington 020,E02000573,4,5,0,7,7,73,4181,38,6,2,2,1
Islington 021,E02000574,1,9,7,6,9,88,3446,63,11,2,1,2
Islington 022,E02000575,1,6,3,8,5,71,4855,95,14,4,2,0
Islington 023,E02000576,1,5,4,3,3,46,3388,36,10,1,1,0
Kensington and Chelsea 001,E02000577,0,2,2,1,3,24,2169,46,2,0,1,0
Kensington and Chelsea 002,E02000578,0,2,4,1,2,25,1732,25,0,1,0,0
Kensington and Chelsea 003,E02000579,0,6,3,5,9,27,3199,56,3,0,2,0
Kensington and Chelsea 004,E02000580,1,4,6,9,5,30,3503,64,5,1,1,0
Kensington and Chelsea 005,E02000581,0,2,5,1,5,16,2226,39,5,1,2,0
Kensington and Chelsea 006,E02000582,0,3,2,1,3,36,3277,70,9,0,2,0
Kensington and Chelsea 007,E02000583,0,5,3,3,9,25,2759,81,9,0,2,0
Kensington and Chelsea 008,E02000584,0,6,4,3,3,34,3197,79,9,2,2,0
Kensington and Chelsea 009,E02000585,2,2,3,5,4,19,2956,85,4,1,2,0
Kensington and Chelsea 010,E02000586,0,3,3,3,4,24,2861,77,5,0,8,0
Kensington and Chelsea 011,E02000587,0,2,6,5,3,13,2660,90,7,0,7,0
Kensington and Chelsea 012,E02000588,0,4,4,4,3,25,3144,59,12,5,2,2
Kensington and Chelsea 013,E02000589,0,10,3,4,4,26,3246,96,3,0,5,0
Kensington and Chelsea 014,E02000590,1,3,1,0,4,15,2564,39,11,2,3,0
Kensington and Chelsea 015,E02000591,0,4,3,3,8,26,2710,62,11,0,2,2
Kensington and Chelsea 016,E02000592,0,4,1,1,1,19,2866,78,1,3,4,1
Kensington and Chelsea 017,E02000593,1,6,0,3,5,29,3296,93,12,1,4,1
Kensington and Chelsea 018,E02000594,3,1,4,2,6,21,2701,46,6,0,5,0
Kensington and Chelsea 019,E02000595,1,9,2,4,4,15,2767,69,28,2,0,0
Kensington and Chelsea 020,E02000596,0,5,3,5,8,16,3146,91,8,3,1,1
Kensington and Chelsea 021,E02000597,0,8,3,3,4,16,2379,69,10,0,4,0
Lambeth 002,E02000619,0,8,1,4,4,38,3098,73,7,4,1,1
Lambeth 003,E02000620,0,6,1,3,4,44,4219,109,14,2,6,2
Lambeth 004,E02000621,4,9,3,4,8,39,4945,175,35,3,2,0
Lambeth 005,E02000622,0,3,6,5,3,24,3854,126,9,2,3,0
Lambeth 006,E02000623,1,4,4,3,8,37,3059,106,10,1,0,1
Lambeth 007,E02000624,1,7,5,8,11,28,3357,77,9,2,4,0
Lambeth 008,E02000625,1,1,0,4,11,41,3178,84,8,4,0,1
Lambeth 009,E02000626,1,2,2,3,15,31,2697,60,10,0,3,0
Lambeth 010,E02000627,3,3,3,4,12,48,4499,119,12,1,1,0
Lambeth 011,E02000628,1,9,5,10,16,42,3475,83,6,1,4,1
Lambeth 012,E02000629,0,5,2,6,12,45,4738,166,9,1,3,0
Lambeth 013,E02000630,1,6,0,4,3,20,3770,127,9,2,1,0
Lambeth 014,E02000631,1,4,2,4,7,29,3915,69,14,0,1,0
Lambeth 015,E02000632,1,10,1,4,9,36,5746,156,14,3,3,0
Lambeth 016,E02000633,0,3,2,3,7,34,3657,92,9,2,1,0
Lambeth 017,E02000634,0,7,2,2,8,22,3258,110,7,1,2,0
Lambeth 018,E02000635,1,5,6,10,10,29,4105,96,11,0,5,0
Lambeth 019,E02000636,0,2,2,2,2,31,3951,93,11,2,3,2
Lambeth 020,E02000637,0,3,0,3,9,25,4375,122,15,1,2,0
Lambeth 021,E02000638,3,5,1,5,9,29,4237,98,16,1,2,0
Lambeth 022,E02000639,2,3,9,3,9,30,2997,97,11,1,0,0
Lambeth 023,E02000640,1,4,2,1,4,22,4527,138,9,0,2,2
Lambeth 024,E02000641,0,5,4,4,16,20,3020,75,12,5,0,0
Lambeth 025,E02000642,2,6,7,3,6,23,3921,84,8,7,0,0
Lambeth 026,E02000643,0,8,3,2,3,18,3623,116,10,2,3,0
Lambeth 027,E02000644,0,9,4,8,6,27,3512,120,8,0,2,0
Lambeth 028,E02000645,0,4,2,7,11,30,3770,114,11,0,1,0
Lambeth 029,E02000646,1,1,5,4,5,28,4118,155,14,1,1,0
Lambeth 030,E02000647,0,3,1,5,3,12,3274,83,11,2,0,0
Lambeth 031,E02000648,1,6,3,1,9,14,2463,62,2,0,2,0
Lambeth 032,E02000649,1,7,12,3,11,29,4811,121,9,2,1,0
Lambeth 033,E02000650,1,6,2,4,5,17,2829,92,3,0,0,0
Lambeth 034,E02000651,0,1,3,7,6,18,3308,131,11,0,4,0
Lambeth 035,E02000652,1,2,1,4,6,25,2479,106,7,2,0,0
Lambeth 036,E02006801,1,5,5,5,7,38,3416,107,12,3,4,0
Lewisham 001,E02000653,0,10,5,3,5,35,3398,74,12,2,2,0
Lewisham 002,E02000654,5,1,3,4,5,28,2556,70,8,3,4,0
Lewisham 003,E02000655,0,7,1,6,4,38,3218,87,7,4,1,0
Lewisham 005,E02000657,3,2,3,13,3,33,3728,70,10,1,2,0
Lewisham 006,E02000658,0,5,4,19,2,43,3284,83,8,0,1,1
Lewisham 007,E02000659,0,1,2,2,9,53,3044,86,6,0,5,0
Lewisham 008,E02000660,0,7,7,4,4,25,3809,82,8,1,0,0
Lewisham 009,E02000661,3,4,2,4,2,21,2890,101,7,3,2,1
Lewisham 010,E02000662,5,6,4,9,3,41,3210,87,4,0,3,0
Lewisham 011,E02000663,0,1,2,7,1,36,2947,67,6,0,4,2
Lewisham 012,E02000664,2,7,8,3,4,27,3931,85,6,1,3,0
Lewisham 013,E02000665,0,4,1,5,1,23,3433,105,3,1,3,0
Lewisham 014,E02000666,2,1,2,2,5,30,2837,82,5,1,2,0
Lewisham 015,E02000667,3,3,2,5,2,21,2652,90,6,1,0,0
Lewisham 016,E02000668,0,5,4,4,4,25,2695,94,3,0,3,0
Lewisham 017,E02000669,1,1,4,1,4,38,3198,97,4,2,6,0
Lewisham 018,E02000670,0,1,0,4,5,19,2355,70,6,2,1,0
Lewisham 019,E02000671,0,5,2,3,6,28,3513,96,5,2,0,0
Lewisham 020,E02000672,2,5,7,3,6,33,2935,85,4,0,4,0
Lewisham 021,E02000673,1,6,1,2,4,18,3374,60,9,3,0,0
Lewisham 022,E02000674,2,5,1,1,2,29,3084,68,11,2,2,0
Lewisham 023,E02000675,3,3,3,3,4,41,3263,118,6,0,2,0
Lewisham 024,E02000676,1,1,2,5,6,20,3228,79,9,2,4,0
Lewisham 025,E02000677,0,6,2,2,6,28,2668,76,7,1,3,1
Lewisham 026,E02000678,0,2,2,1,3,29,2030,69,0,2,1,0
Lewisham 027,E02000679,1,3,2,14,6,28,3044,57,6,1,1,0
Lewisham 028,E02000680,2,12,4,11,5,16,2439,64,8,2,1,0
Lewisham 029,E02000681,0,4,2,5,6,31,2839,77,6,0,0,0
Lewisham 030,E02000682,1,4,2,5,5,24,2530,100,8,1,1,0
Lewisham 031,E02000683,0,7,2,2,12,33,2038,89,4,0,3,1
Lewisham 033,E02000685,1,0,4,0,10,15,2795,88,11,2,2,0
Lewisham 034,E02000686,0,3,3,6,4,17,2113,62,5,0,0,0
Lewisham 035,E02000687,0,1,5,4,5,18,2901,102,5,2,2,0
Lewisham 037,E02006783,2,2,1,4,9,21,2265,80,7,3,4,1
Lewisham 038,E02006784,1,4,5,5,4,18,2363,83,6,1,1,0
Lewisham 039,E02006798,1,6,3,3,7,33,2790,63,13,3,2,0
Newham 001,E02000714,2,19,3,2,22,91,2719,27,4,2,1,0
Newham 002,E02000715,3,8,0,3,7,80,1875,35,8,0,0,0
Newham 003,E02000716,0,3,4,2,7,69,2104,53,9,3,2,0
Newham 004,E02000717,2,5,1,4,2,75,2240,44,13,4,2,0
Newham 005,E02000718,0,3,2,5,4,75,1690,39,1,0,1,0
Newham 006,E02000719,0,6,4,6,11,92,2689,42,12,1,3,1
Newham 007,E02000720,0,2,5,8,5,92,2354,33,1,0,1,0
Newham 008,E02000721,1,4,4,6,5,95,2698,47,6,0,2,0
Newham 009,E02000722,0,4,3,3,6,94,3058,40,10,1,6,0
Newham 010,E02000723,0,8,8,7,10,159,3136,54,5,1,2,0
Newham 011,E02000724,0,2,4,10,9,110,2537,42,12,1,1,0
Newham 012,E02000725,0,4,1,4,11,119,3662,60,7,2,1,3
Newham 013,E02000726,0,2,4,6,6,104,3657,75,8,0,1,0
Newham 014,E02000727,2,12,9,12,7,89,2420,53,4,0,0,0
Newham 015,E02000728,1,6,5,5,10,133,2462,67,6,1,1,0
Newham 016,E02000729,1,2,0,3,5,80,2235,33,5,2,1,0
Newham 017,E02000730,2,6,2,6,3,98,2678,41,9,2,1,0
Newham 018,E02000731,2,7,15,8,6,159,2985,88,4,0,3,0
Newham 019,E02000732,1,6,5,5,4,77,2000,33,5,1,2,0
Newham 020,E02000733,0,4,2,4,7,110,3145,46,6,0,4,0
Newham 021,E02000734,0,3,0,4,1,72,2401,30,7,1,2,0
Newham 022,E02000735,1,3,5,4,5,78,2248,43,5,2,4,1
Newham 023,E02000736,0,6,4,1,4,105,2310,31,8,1,1,0
Newham 024,E02000737,4,6,6,7,8,146,2718,46,8,2,3,0
Newham 025,E02000738,0,9,2,5,9,89,2659,52,2,0,0,0
Newham 026,E02000739,2,4,6,1,9,80,2251,32,8,2,2,0
Newham 027,E02000740,0,2,3,4,8,89,2091,32,3,2,0,0
Newham 028,E02000741,0,4,3,3,8,74,2515,39,6,1,0,0
Newham 029,E02000742,1,1,7,5,6,94,2272,43,12,1,4,0
Newham 030,E02000743,4,4,0,4,8,83,2170,33,8,0,1,0
Newham 031,E02000744,1,8,3,3,10,101,2278,46,4,1,1,0
Newham 032,E02000745,1,4,4,10,2,100,2659,59,3,3,3,0
Newham 033,E02000746,1,6,5,2,11,81,2175,50,6,0,3,0
Newham 034,E02000747,4,5,7,7,13,104,4033,58,14,1,0,0
Newham 035,E02000748,1,4,3,2,7,73,1895,38,6,0,2,0
Newham 036,E02000749,0,4,3,5,6,85,2310,36,1,1,1,0
Newham 037,E02000750,0,11,5,6,16,141,4295,91,6,2,5,0
Southwark 001,E02000807,2,2,10,7,4,43,4436,91,8,1,5,0
Southwark 002,E02000808,6,12,8,5,16,40,4289,110,4,3,5,0
Southwark 003,E02000809,2,16,11,10,14,75,6874,162,9,1,6,0
Southwark 004,E02000810,2,6,9,8,5,37,3866,76,5,2,1,0
Southwark 006,E02000812,2,4,8,3,5,51,4309,96,9,0,3,0
Southwark 007,E02000813,3,1,4,5,10,37,3283,87,8,2,4,0
Southwark 008,E02000814,0,7,6,7,6,50,4556,94,9,0,2,0
Southwark 009,E02000815,3,3,5,8,5,28,2741,84,15,2,3,0
Southwark 010,E02000816,2,7,2,2,4,43,3441,76,6,2,2,0
Southwark 011,E02000817,1,9,1,6,6,25,2152,40,6,3,0,0
Southwark 012,E02000818,2,7,5,6,6,31,2852,59,7,2,2,0
Southwark 013,E02000819,0,5,1,5,8,44,2996,71,8,4,3,0
Southwark 014,E02000820,1,9,1,9,12,27,3498,101,8,1,1,1
Southwark 015,E02000821,1,9,1,7,3,50,2652,51,15,2,2,0
Southwark 016,E02000822,0,4,2,3,10,41,2804,61,4,2,0,0
Southwark 017,E02000823,0,2,6,2,6,50,3003,55,8,2,0,0
Southwark 018,E02000824,3,6,4,12,13,47,2895,74,6,0,3,0
Southwark 019,E02000825,0,4,6,11,9,38,3113,92,6,0,6,0
Southwark 020,E02000826,0,8,6,1,9,41,3275,71,13,3,1,2
Southwark 021,E02000827,0,8,1,9,15,45,3728,88,7,2,1,0
Southwark 022,E02000828,0,6,2,6,11,37,2833,64,9,1,1,0
Southwark 023,E02000829,1,9,7,9,3,47,3753,85,7,1,2,0
Southwark 024,E02000830,2,2,4,3,3,36,3864,72,10,5,0,0
Southwark 025,E02000831,3,6,5,1,8,25,3888,67,8,1,2,0
Southwark 026,E02000832,4,8,3,6,18,47,3414,80,15,2,4,0
Southwark 027,E02000833,0,2,2,8,6,25,2870,58,9,0,3,1
Southwark 028,E02000834,2,5,6,7,4,33,4469,75,10,1,8,0
Southwark 029,E02000835,1,7,4,4,3,23,2798,57,15,1,4,1
Southwark 030,E02000836,0,2,3,2,5,23,3739,78,11,4,3,0
Southwark 031,E02000837,1,7,3,3,5,25,3516,86,9,0,2,1
Southwark 032,E02000838,0,8,1,1,9,34,3888,75,5,1,1,0
Southwark 033,E02000839,0,6,2,2,8,25,2985,75,9,2,1,0
Southwark 034,E02006802,2,4,4,7,8,31,2865,100,15,3,2,0
Tower Hamlets 001,E02000864,3,5,0,2,3,71,2919,50,6,0,5,0
Tower Hamlets 002,E02000865,1,3,0,3,2,42,2458,40,9,1,4,0
Tower Hamlets 003,E02000866,3,2,1,5,7,80,3967,58,7,1,6,0
Tower Hamlets 004,E02000867,1,6,3,4,3,110,4530,48,11,2,5,3
Tower Hamlets 005,E02000868,0,4,2,3,0,42,2722,53,6,0,5,0
Tower Hamlets 006,E02000869,1,1,2,1,1,33,2248,24,8,1,1,0
Tower Hamlets 007,E02000870,0,3,1,1,4,52,2468,44,9,2,1,0
Tower Hamlets 008,E02000871,3,6,0,5,4,63,2647,45,7,0,3,0
Tower Hamlets 009,E02000872,1,5,1,4,3,46,3016,46,6,2,1,0
Tower Hamlets 010,E02000873,0,12,3,7,10,54,2565,72,17,5,4,2
Tower Hamlets 011,E02000874,0,1,0,1,2,43,2139,47,4,1,5,0
Tower Hamlets 012,E02000875,3,6,6,2,10,55,2905,74,10,1,2,0
Tower Hamlets 013,E02000876,2,3,1,5,6,66,2558,52,8,2,6,0
Tower Hamlets 014,E02000877,3,2,6,5,4,75,2981,75,7,1,6,0
Tower Hamlets 015,E02000878,0,4,2,4,6,90,4040,61,9,5,2,3
Tower Hamlets 016,E02000879,1,4,2,3,0,42,2419,37,5,0,2,0
Tower Hamlets 017,E02000880,1,6,4,4,2,40,1980,30,5,0,2,0
Tower Hamlets 018,E02000881,1,2,3,2,3,49,1852,37,5,1,1,0
Tower Hamlets 019,E02000882,0,4,0,3,3,48,2472,58,6,2,4,0
Tower Hamlets 020,E02000883,0,1,0,2,3,39,2126,48,7,2,2,0
Tower Hamlets 021,E02000884,0,5,2,6,10,47,4267,53,7,3,6,0
Tower Hamlets 022,E02000885,0,1,2,0,1,42,2022,44,7,2,2,0
Tower Hamlets 023,E02000886,2,8,1,1,1,61,3206,55,5,0,3,0
Tower Hamlets 024,E02000887,0,12,3,4,4,71,2629,60,7,2,3,0
Tower Hamlets 025,E02000888,1,6,1,6,6,69,3316,72,6,1,8,0
Tower Hamlets 026,E02000889,0,6,3,5,3,57,3049,54,2,0,4,0
Tower Hamlets 027,E02000890,2,4,1,3,2,57,3316,46,7,1,3,0
Tower Hamlets 028,E02000891,1,4,3,8,6,100,6021,88,12,2,6,1
Tower Hamlets 030,E02000893,1,4,4,2,4,73,2704,54,8,0,3,0
Tower Hamlets 031,E02000894,1,10,1,6,7,91,5123,82,10,3,8,1
Tower Hamlets 032,E02006853,2,4,2,3,6,48,3169,56,3,2,4,1
Tower Hamlets 033,E02006854,2,2,3,8,2,47,3078,49,6,1,0,2
Wandsworth 001,E02000923,0,2,3,3,4,21,3530,121,8,2,3,0
Wandsworth 002,E02000924,0,7,5,6,6,32,4991,139,13,2,2,0
Wandsworth 003,E02000925,1,4,2,5,5,18,3071,114,5,1,2,0
Wandsworth 004,E02000926,4,5,3,4,8,39,4404,249,13,3,2,0
Wandsworth 005,E02000927,0,2,1,1,4,21,3396,156,10,0,3,0
Wandsworth 006,E02000928,0,6,3,2,4,26,3913,228,8,1,1,0
Wandsworth 007,E02000929,1,4,1,6,6,22,2680,127,2,0,0,0
Wandsworth 008,E02000930,1,5,4,3,4,46,5437,395,13,2,2,0
Wandsworth 009,E02000931,1,1,2,5,11,38,4575,272,8,2,3,1
Wandsworth 010,E02000932,1,7,2,5,3,22,5751,337,11,3,2,0
Wandsworth 011,E02000933,1,6,2,5,3,24,3899,261,9,3,2,0
Wandsworth 012,E02000934,1,7,4,7,6,29,5146,335,11,1,4,1
Wandsworth 013,E02000935,3,3,3,9,6,17,2017,93,17,4,0,0
Wandsworth 014,E02000936,1,8,1,2,4,24,4190,256,8,3,2,0
Wandsworth 015,E02000937,2,2,6,1,3,24,3557,166,12,0,2,0
Wandsworth 016,E02000938,2,4,2,9,10,19,3522,147,8,2,0,1
Wandsworth 017,E02000939,0,6,1,3,5,10,3294,88,6,1,2,0
Wandsworth 018,E02000940,3,1,2,3,5,17,3569,182,7,1,2,0
Wandsworth 019,E02000941,0,7,3,8,4,15,4613,241,4,0,3,0
Wandsworth 020,E02000942,0,4,6,6,5,28,4263,263,14,1,5,0
Wandsworth 021,E02000943,1,6,4,4,1,19,4515,145,15,1,3,1
Wandsworth 022,E02000944,0,4,1,1,8,20,2801,139,0,0,1,0
Wandsworth 023,E02000945,2,7,5,0,3,23,2484,109,8,4,0,0
Wandsworth 024,E02000946,4,2,10,8,12,25,3719,203,6,0,0,0
Wandsworth 025,E02000947,0,3,1,2,8,24,4414,255,7,0,3,0
